item_id,title,description
1,Кабель силовой ВВГнг 3x2.5,медь; 450/750В; не ПВХ; ГОСТ 31996-2012; для внутренней прокладки
2,Кабель силовой NYM 3x2.5,Cu; 450В; ПВХ оболочка; DIN VDE 0250; для стационарной проводки
3,Провод ПВС 2x1.5,медь; 300/500 В; ПВХ; гибкий; ГОСТ 7399-97
4,Кабель КГ 3x6,медь; 380В; резиновая оболочка; морозостойкий
5,Подшипник 6204 ZZ,сталь; диаметр внутренний 20 мм; внешний 47 мм; ГОСТ 520-2011
6,Труба стальная 25 мм,сталь; диаметр 25 мм; толщина стенки 2.8 мм; ГОСТ 3262-75
7,Кабель силовой ВВГнг 5x6,медь; 450/750В; не ПВХ; ГОСТ 31996-2012; для щитов
8,Кабель алюминиевый АПВ 1x2.5,алюминий; 450В; ПВХ; ГОСТ 6323-79
9,Мультиварка Redmond RMC-M90,объем 5 л; 45 программ; антипригарная чаша; отложенный старт; поддержание тепла
10,Тостер Philips HD2581,2 отделения; мощность 830 Вт; 8 степеней обжарки; съемный поддон для крошек
11,Утюг Tefal FV5648,мощность 2600 Вт; паровой удар 220 г/мин; керамическая подошва; автоотключение
12,Соковыжималка Scarlett SC-JE50,мощность 700 Вт; центробежная; загрузочное отверстие 65 мм; контейнер 1.5 л
13,Миксер Bosch MFQ4020,мощность 450 Вт; 5 скоростей; турборежим; насадки для теста и крема
14,Электрошашлычница Kitfort KT-1404,6 шампуров; мощность 1400 Вт; антипригарные стаканы; компактный корпус
15,Электрогриль Tefal OptiGrill+ XL,мощность 2000 Вт; автоматические программы; съемные панели; индикатор прожарки
16,Мороженица Nemox Gelato,объем 1.5 л; компрессорная; автоохлаждение; корпус из нержавеющей стали
17,Фен Dyson Supersonic,мощность 1600 Вт; ионная технология; 4 насадки; регулировка температуры
18,Электронные весы Polaris PKS 0521,макс. вес 5 кг; точность 1 г; стеклянная платформа; автоотключение
19,Блокнот А5 клетка,96 листов; обложка твёрдая; бумага 70 г/м²; пружина
